Binomial.1.2,Upham_TipLabel,Alvarez.Carretero_Tiplabel,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Pupil,Diel,Flexible,avg_mass_g,Slit,Genus_Diet_4,Genus_Diet_3,Orbit_Verticality,OrbitVerticality_ref.,Height,Height reference 
Ailuropoda_melanoleuca,Ailuropoda_melanoleuca,ailuropoda_melanoleuca,Carnivora,Ursidae,Ailuropoda,melanoleuca,Vertical,Cathemeral,,108400,1,Herbivore,Herbivore,,,,
Helarctos_malayanus,Helarctos_malayanus,helarctos_malayanus,Carnivora,Ursidae,Helarctos,malayanus,Round,Diurnal,,46500,,Insectivore,Carnivore,,,,
Melursus_ursinus,Melursus_ursinus,melursus_ursinus,Carnivora,Ursidae,Melursus,ursinus,Round,Cathemeral,,93130,,Insectivore,Carnivore,,,,
Ursus_americanus,Ursus_americanus,ursus_americanus,Carnivora,Ursidae,Ursus,americanus,Round,Diurnal,,119323.2667,,Herbivore,Herbivore,,,,
Chrotogale_owstoni,Chrotogale_owstoni,chrotogale_owstoni,Carnivora,Viverridae,Chrotogale,owstoni,Vertical,Nocturnal,0,3250,1,Insectivore,Carnivore,,,,
Cynogale_bennettii,Cynogale_bennettii,cynogale_bennettii,Carnivora,Viverridae,Cynogale,bennettii,Vertical,Nocturnal,1,4500,1,Carnivore,Carnivore,,,,
Diplogale_hosei,Diplogale_hosei,paradoxurus_zeylonensis,Carnivora,Viverridae,Diplogale,hosei,Vertical,Nocturnal,0,1300,1,Insectivore,Carnivore,,,,
Macrogalidia_musschenbroekii,Macrogalidia_musschenbroekii,macrogalidia_musschenbroekii,Carnivora,Viverridae,Macrogalidia,musschenbroekii,Vertical,Nocturnal,0,4000,1,Carnivore,Carnivore,,,,
Paradoxurus_hermaphroditus,Paradoxurus_hermaphroditus,paradoxurus_hermaphroditus,Carnivora,Viverridae,Paradoxurus,hermaphroditus,Vertical,Nocturnal,0,2906.1,1,Mixed,Carnivore,,,,
Antilocapra_americana,Antilocapra_americana,antilocapra_americana,Cetartiodactyla,Antilocapridae,Antilocapra,americana,Horizontal,Cathemeral,,46082.9,,Herbivore,Herbivore,,,,
Addax_nasomaculatus,Addax_nasomaculatus,addax_nasomaculatus,Cetartiodactyla,Bovidae,Addax,nasomaculatus,Horizontal,Diurnal,,70000.3,,Herbivore,Herbivore,,,,
Aepyceros_melampus,Aepyceros_melampus,aepyceros_melampus,Cetartiodactyla,Bovidae,Aepyceros,melampus,Horizontal,Cathemeral,,52500.1,,Herbivore,Herbivore,,,,
Alcelaphus_buselaphus,Alcelaphus_buselaphus,alcelaphus_buselaphus,Cetartiodactyla,Bovidae,Alcelaphus,buselaphus,Horizontal,Diurnal,,171001.5,,Herbivore,Herbivore,,,,
Ammodorcas_clarkei,Ammodorcas_clarkei,gazella_arabica,Cetartiodactyla,Bovidae,Ammodorcas,clarkei,Horizontal,Diurnal,,28049.8,,Herbivore,Herbivore,,,,
Ammotragus_lervia,Ammotragus_lervia,ammotragus_lervia,Cetartiodactyla,Bovidae,Ammotragus,lervia,Horizontal,Diurnal,,48000,,Herbivore,Herbivore,,,,
Antidorcas_marsupialis,Antidorcas_marsupialis,antidorcas_marsupialis,Cetartiodactyla,Bovidae,Antidorcas,marsupialis,Horizontal,Cathemeral,,31500,,Herbivore,Herbivore,,,,
Antilope_cervicapra,Antilope_cervicapra,antilope_cervicapra,Cetartiodactyla,Bovidae,Antilope,cervicapra,Horizontal,Diurnal,,37500,,Herbivore,Herbivore,,,,
Arabitragus_jayakari,Arabitragus_jayakari,arabitragus_jayakari,Cetartiodactyla,Bovidae,Arabitragus,jayakari,Horizontal,Cathemeral,,23000,,Herbivore,Herbivore,,,,
Bison_bison,Bison_bison,bos_bison,Cetartiodactyla,Bovidae,Bison,bison,Horizontal,Cathemeral,,539627.65,,Herbivore,Herbivore,,,,
Bos_gaurus,Bos_gaurus,bos_javanicus,Cetartiodactyla,Bovidae,Bos,gaurus,Horizontal,Cathemeral,,690416.6667,,Herbivore,Herbivore,,,,
Boselaphus_tragocamelus,Boselaphus_tragocamelus,boselaphus_tragocamelus,Cetartiodactyla,Bovidae,Boselaphus,tragocamelus,Horizontal,Crepuscular,,169000,,Herbivore,Herbivore,,,,
Bubalus_mindorensis,Bubalus_mindorensis,bubalus_depressicornis,Cetartiodactyla,Bovidae,Bubalus,mindorensis,Horizontal,Cathemeral,,278250,,Herbivore,Herbivore,,,,
Budorcas_taxicolor,Budorcas_taxicolor,budorcas_taxicolor,Cetartiodactyla,Bovidae,Budorcas,taxicolor,Horizontal,Diurnal,,302000,,Herbivore,Herbivore,,,,
Capra_caucasica,Capra_caucasica,capra_caucasica,Cetartiodactyla,Bovidae,Capra,caucasica,Horizontal,Diurnal,,67476.81111,,Herbivore,Herbivore,,,,
Capricornis_crispus,Capricornis_crispus,capricornis_crispus,Cetartiodactyla,Bovidae,Capricornis,crispus,Horizontal,Diurnal,,79276.66667,,Herbivore,Herbivore,,,,
Cephalophus_jentinki,Cephalophus_jentinki,cephalophus_adersi,Cetartiodactyla,Bovidae,Cephalophus,jentinki,Horizontal,Diurnal,,25733.38,,Herbivore,Herbivore,,,,
Connochaetes_gnou,Connochaetes_gnou,connochaetes_gnou,Cetartiodactyla,Bovidae,Connochaetes,gnou,Horizontal,Cathemeral,,179999,,Herbivore,Herbivore,,,,
Damaliscus_lunatus,Damaliscus_lunatus,damaliscus_lunatus,Cetartiodactyla,Bovidae,Damaliscus,lunatus,Horizontal,Diurnal,,119000.15,,Herbivore,Herbivore,,,,
Dorcatragus_megalotis,Dorcatragus_megalotis,dorcatragus_megalotis,Cetartiodactyla,Bovidae,Dorcatragus,megalotis,Horizontal,Diurnal,,10249.9,,Herbivore,Herbivore,,,,
Eudorcas_thomsonii,Eudorcas_thomsonii,eudorcas_rufifrons,Cetartiodactyla,Bovidae,Eudorcas,thomsonii,Horizontal,Mixed,,28124.9,,Herbivore,Herbivore,,,,
Gazella_leptoceros,Gazella_leptoceros,gazella_bennettii,Cetartiodactyla,Bovidae,Gazella,leptoceros,Horizontal,Cathemeral,,22570.8375,,Herbivore,Herbivore,,,,
Hemitragus_jemlahicus,Hemitragus_jemlahicus,hemitragus_jemlahicus,Cetartiodactyla,Bovidae,Hemitragus,jemlahicus,Horizontal,Diurnal,,35200,,Herbivore,Herbivore,,,,
Hippotragus_equinus,Hippotragus_equinus,hippotragus_equinus,Cetartiodactyla,Bovidae,Hippotragus,equinus,Horizontal,Cathemeral,,248748.5,,Herbivore,Herbivore,,,,
Kobus_leche,Kobus_leche,kobus_ellipsiprymnus,Cetartiodactyla,Bovidae,Kobus,leche,Horizontal,Mixed,,111650.1,,Herbivore,Herbivore,,,,
Litocranius_walleri,Litocranius_walleri,litocranius_walleri,Cetartiodactyla,Bovidae,Litocranius,walleri,Horizontal,Diurnal,,37999.7,,Herbivore,Herbivore,,,,
Madoqua_kirkii,Madoqua_kirkii,madoqua_guentheri,Cetartiodactyla,Bovidae,Madoqua,kirkii,Horizontal,Cathemeral,,4637.525,,Herbivore,Herbivore,,,,
Naemorhedus_baileyi,Naemorhedus_baileyi,naemorhedus_baileyi,Cetartiodactyla,Bovidae,Naemorhedus,baileyi,Horizontal,Cathemeral,,26996.875,,Herbivore,Herbivore,,,,
Nanger_dama,Nanger_dama,nanger_dama,Cetartiodactyla,Bovidae,Nanger,dama,Horizontal,Diurnal,,55999.73333,,Herbivore,Herbivore,,,,
Neotragus_batesi,Neotragus_batesi,neotragus_batesi,Cetartiodactyla,Bovidae,Neotragus,batesi,Horizontal,Cathemeral,,3500,,Herbivore,Herbivore,,,,
Nesotragus_moschatus,Nesotragus_moschatus,bos_taurus,Cetartiodactyla,Bovidae,Nesotragus,moschatus,Horizontal,Diurnal,,6500,,Herbivore,Herbivore,,,,
Nilgiritragus_hylocrius,Nilgiritragus_hylocrius,nilgiritragus_hylocrius,Cetartiodactyla,Bovidae,Nilgiritragus,hylocrius,Horizontal,Diurnal,,75000,,Herbivore,Herbivore,,,,
Oreamnos_americanus,Oreamnos_americanus,oreamnos_americanus,Cetartiodactyla,Bovidae,Oreamnos,americanus,Horizontal,Cathemeral,,72500.3,,Herbivore,Herbivore,,,,
Oreotragus_oreotragus,Oreotragus_oreotragus,oreotragus_oreotragus,Cetartiodactyla,Bovidae,Oreotragus,oreotragus,Horizontal,Diurnal,,12999.9,,Herbivore,Herbivore,,,,
Oryx_dammah,Oryx_dammah,oryx_dammah,Cetartiodactyla,Bovidae,Oryx,dammah,Horizontal,Cathemeral,,156675.325,,Herbivore,Herbivore,,,,
Ourebia_ourebi,Ourebia_ourebi,ourebia_ourebi,Cetartiodactyla,Bovidae,Ourebia,ourebi,Horizontal,Cathemeral,,17250,,Herbivore,Herbivore,,,,
Ovibos_moschatus,Ovibos_moschatus,ovibos_moschatus,Cetartiodactyla,Bovidae,Ovibos,moschatus,Horizontal,Cathemeral,,340501.1,,Herbivore,Herbivore,,,,
Ovis_canadensis,Ovis_canadensis,ovis_canadensis,Cetartiodactyla,Bovidae,Ovis,canadensis,Horizontal,Crepuscular,,92059.1,,Herbivore,Herbivore,,,,
Pelea_capreolus,Pelea_capreolus,pelea_capreolus,Cetartiodactyla,Bovidae,Pelea,capreolus,Horizontal,Cathemeral,,20000,,Herbivore,Herbivore,,,,
Philantomba_walteri,Philantomba_walteri,philantomba_maxwellii,Cetartiodactyla,Bovidae,Philantomba,walteri,Horizontal,Diurnal,,9083.333333,,Herbivore,Herbivore,,,,
Procapra_gutturosa,Procapra_gutturosa,procapra_gutturosa,Cetartiodactyla,Bovidae,Procapra,gutturosa,Horizontal,Diurnal,,25083.33333,,Herbivore,Herbivore,,,,
Pseudois_nayaur,Pseudois_nayaur,pseudois_nayaur,Cetartiodactyla,Bovidae,Pseudois,nayaur,Horizontal,Diurnal,,45000,,Herbivore,Herbivore,,,,
Pseudoryx_nghetinhensis,Pseudoryx_nghetinhensis,pseudoryx_nghetinhensis,Cetartiodactyla,Bovidae,Pseudoryx,nghetinhensis,Horizontal,Diurnal,,85000,,Herbivore,Herbivore,,,,
Raphicerus_campestris,Raphicerus_campestris,raphicerus_campestris,Cetartiodactyla,Bovidae,Raphicerus,campestris,Horizontal,Nocturnal,1,10083.26667,,Herbivore,Herbivore,,,,
Redunca_redunca,Redunca_redunca,redunca_redunca,Cetartiodactyla,Bovidae,Redunca,redunca,Horizontal,Cathemeral,,43850.2,,Herbivore,Herbivore,,,,
Rupicapra_pyrenaica,Rupicapra_pyrenaica,rupicapra_pyrenaica,Cetartiodactyla,Bovidae,Rupicapra,pyrenaica,Horizontal,Diurnal,,28050,,Herbivore,Herbivore,,,,
Saiga_tatarica,Saiga_tatarica,saiga_tatarica,Cetartiodactyla,Bovidae,Saiga,tatarica,Horizontal,Diurnal,,29000,,Herbivore,Herbivore,,,,
Sylvicapra_grimmia,Sylvicapra_grimmia,sylvicapra_grimmia,Cetartiodactyla,Bovidae,Sylvicapra,grimmia,Horizontal,Diurnal,,19499.8,,Herbivore,Herbivore,,,,
Syncerus_caffer,Syncerus_caffer,syncerus_caffer,Cetartiodactyla,Bovidae,Syncerus,caffer,Horizontal,Cathemeral,,580002.7,,Herbivore,Herbivore,,,,
Tetracerus_quadricornis,Tetracerus_quadricornis,tetracerus_quadricornis,Cetartiodactyla,Bovidae,Tetracerus,quadricornis,Horizontal,Crepuscular,,19000,,Herbivore,Herbivore,,,,
Tragelaphus_angasii,Tragelaphus_angasii,tragelaphus_angasii,Cetartiodactyla,Bovidae,Tragelaphus,angasii,Horizontal,Nocturnal,1,255213.7778,,Herbivore,Herbivore,,,,
Camelus_ferus,Camelus_ferus,camelus_dromedarius,Cetartiodactyla,Camelidae,Camelus,ferus,Horizontal,Diurnal,,690000,,Herbivore,Herbivore,,,,
Lama_guanicoe,Lama_guanicoe,lama_guanicoe,Cetartiodactyla,Camelidae,Lama,guanicoe,Horizontal,Diurnal,,120000,,Herbivore,Herbivore,,,,
Vicugna_vicugna,Vicugna_vicugna,vicugna_vicugna,Cetartiodactyla,Camelidae,Vicugna,vicugna,Horizontal,Diurnal,,47499.6,,Herbivore,Herbivore,,,,
Alces_alces,Alces_alces,alces_alces,Cetartiodactyla,Cervidae,Alces,alces,Horizontal,Cathemeral,,356998,,Herbivore,Herbivore,,,,
Axis_kuhlii,Axis_kuhlii,axis_axis,Cetartiodactyla,Cervidae,Axis,kuhlii,Horizontal,Cathemeral,,48950.15,,Herbivore,Herbivore,,,,
Capreolus_capreolus,Capreolus_capreolus,capreolus_capreolus,Cetartiodactyla,Cervidae,Capreolus,capreolus,Horizontal,Cathemeral,,33126.1,,Herbivore,Herbivore,,,,
Cervus_elaphus,Cervus_elaphus,cervus_albirostris,Cetartiodactyla,Cervidae,Cervus,elaphus,Horizontal,Cathemeral,,110125,,Herbivore,Herbivore,,,,
Dama_mesopotamica,Dama_mesopotamica,dama_dama,Cetartiodactyla,Cervidae,Dama,mesopotamica,Horizontal,Mixed,,64375,,Herbivore,Herbivore,,,,
Elaphodus_cephalophus,Elaphodus_cephalophus,elaphodus_cephalophus,Cetartiodactyla,Cervidae,Elaphodus,cephalophus,Horizontal,Crepuscular,,33500,,Herbivore,Herbivore,,,,
Elaphurus_davidianus,Elaphurus_davidianus,elaphurus_davidianus,Cetartiodactyla,Cervidae,Elaphurus,davidianus,Horizontal,Diurnal,,149000,,Herbivore,Herbivore,,,,
Hydropotes_inermis,Hydropotes_inermis,hydropotes_inermis,Cetartiodactyla,Cervidae,Hydropotes,inermis,Horizontal,Cathemeral,,14000,,Herbivore,Herbivore,,,,
Mazama_americana,Mazama_americana,mazama_americana,Cetartiodactyla,Cervidae,Mazama,americana,Horizontal,Mixed,,20059.93,,Herbivore,Herbivore,,,,
Muntiacus_reevesi,Muntiacus_reevesi,muntiacus_reevesi,Cetartiodactyla,Cervidae,Muntiacus,reevesi,Horizontal,Cathemeral,,19566.675,,Herbivore,Herbivore,,,,
Odocoileus_virginianus,Odocoileus_virginianus,odocoileus_virginianus,Cetartiodactyla,Cervidae,Odocoileus,virginianus,Horizontal,Crepuscular,,54860.6,,Herbivore,Herbivore,,,,
Ozotoceros_bezoarticus,Ozotoceros_bezoarticus,ozotoceros_bezoarticus,Cetartiodactyla,Cervidae,Ozotoceros,bezoarticus,Horizontal,Cathemeral,,40000,,Herbivore,Herbivore,,,,
Pudu_mephistophiles,Pudu_mephistophiles,pudu_mephistophiles,Cetartiodactyla,Cervidae,Pudu,mephistophiles,Horizontal,Cathemeral,,9674.95,,Herbivore,Herbivore,,,,
Rangifer_tarandus,Rangifer_tarandus,rangifer_tarandus,Cetartiodactyla,Cervidae,Rangifer,tarandus,Horizontal,Cathemeral,,86034,,Herbivore,Herbivore,,,,
Rucervus_duvaucelii,Rucervus_duvaucelii,rucervus_duvaucelii,Cetartiodactyla,Cervidae,Rucervus,duvaucelii,Horizontal,Cathemeral,,108000,,Herbivore,Herbivore,,,,
Rusa_alfredi,Rusa_alfredi,cervus_timorensis,Cetartiodactyla,Cervidae,Rusa,alfredi,Horizontal,Nocturnal,1,85211.1,,Herbivore,Herbivore,,,,
Giraffa_camelopardalis,Giraffa_camelopardalis,giraffa_camelopardalis,Cetartiodactyla,Giraffidae,Giraffa,camelopardalis,Horizontal,Diurnal,,899994.8,,Herbivore,Herbivore,,,,
Okapia_johnstoni,Okapia_johnstoni,okapia_johnstoni,Cetartiodactyla,Giraffidae,Okapia,johnstoni,Horizontal,Diurnal,,230001.1,,Herbivore,Herbivore,,,,
Choeropsis_liberiensis,Choeropsis_liberiensis,hexaprotodon_liberiensis,Cetartiodactyla,Hippopotamidae,Choeropsis,liberiensis,Horizontal,Nocturnal,1,235001.2,,Herbivore,Herbivore,,,,
Hippopotamus_amphibius,Hippopotamus_amphibius,hippopotamus_amphibius,Cetartiodactyla,Hippopotamidae,Hippopotamus,amphibius,Horizontal,Cathemeral,,1417490,,Herbivore,Herbivore,,,,
Moschus_anhuiensis,Moschus_anhuiensis,moschus_anhuiensis,Cetartiodactyla,Moschidae,Moschus,anhuiensis,Horizontal,Nocturnal,0,12485.71429,,Herbivore,Herbivore,,,,
Babyrousa_babyrussa,Babyrousa_babyrussa,babyrousa_babyrussa,Cetartiodactyla,Suidae,Babyrousa,babyrussa,Horizontal,Diurnal,,99363.43333,,Herbivore,Herbivore,,,,
Hylochoerus_meinertzhageni,Hylochoerus_meinertzhageni,hylochoerus_meinertzhageni,Cetartiodactyla,Suidae,Hylochoerus,meinertzhageni,Horizontal,Diurnal,,188500,,Herbivore,Herbivore,,,,
Phacochoerus_aethiopicus,Phacochoerus_aethiopicus,phacochoerus_aethiopicus,Cetartiodactyla,Suidae,Phacochoerus,aethiopicus,Horizontal,Diurnal,,76750.15,,Herbivore,Herbivore,,,,
Porcula_salvania,Porcula_salvania,porcula_salvania,Cetartiodactyla,Suidae,Porcula,salvania,Horizontal,Diurnal,,7718,,Herbivore,Herbivore,,,,
Potamochoerus_larvatus,Potamochoerus_larvatus,potamochoerus_larvatus,Cetartiodactyla,Suidae,Potamochoerus,larvatus,Horizontal,Nocturnal,1,83750.15,,Herbivore,Herbivore,,,,
Sus_cebifrons,Sus_cebifrons,sus_barbatus,Cetartiodactyla,Suidae,Sus,cebifrons,Horizontal,Cathemeral,,62169.5625,,Herbivore,Herbivore,,,,
Catagonus_wagneri,Catagonus_wagneri,catagonus_wagneri,Cetartiodactyla,Tayassuidae,Catagonus,wagneri,Horizontal,Diurnal,,35566.4,,Herbivore,Herbivore,,,,
Pecari_tajacu,Pecari_tajacu,pecari_tajacu,Cetartiodactyla,Tayassuidae,Pecari,tajacu,Horizontal,Diurnal,,21266.7,,Herbivore,Herbivore,,,,
Tayassu_pecari,Tayassu_pecari,tayassu_pecari,Cetartiodactyla,Tayassuidae,Tayassu,pecari,Horizontal,Diurnal,,32233.7,,Herbivore,Herbivore,,,,
Hyemoschus_aquaticus,Hyemoschus_aquaticus,hyemoschus_aquaticus,Cetartiodactyla,Tragulidae,Hyemoschus,aquaticus,Horizontal,Nocturnal,0,10850,,Herbivore,Herbivore,,,,
Moschiola_indica,Moschiola_indica,moschiola_meminna,Cetartiodactyla,Tragulidae,Moschiola,indica,Horizontal,Nocturnal,1,2469.066667,,Herbivore,Herbivore,,,,
Tragulus_javanicus,Tragulus_javanicus,tragulus_javanicus,Cetartiodactyla,Tragulidae,Tragulus,javanicus,Horizontal,Nocturnal,0,2480.716667,,Herbivore,Herbivore,,,,
Antechinomys_laniger,Antechinomys_laniger,antechinomys_laniger,Dasyuromorphia,Dasyuridae,Antechinomys,laniger,Round,Nocturnal,0,25,,Insectivore,Carnivore,,,,
Antechinus_adustus,Antechinus_adustus,antechinus_bellus,Dasyuromorphia,Dasyuridae,Antechinus,adustus,Round,Nocturnal,1,45.93,,Insectivore,Carnivore,,,,
Dasycercus_cristicauda,Dasycercus_cristicauda,dasycercus_cristicauda,Dasyuromorphia,Dasyuridae,Dasycercus,cristicauda,Round,Nocturnal,1,91.9,,Carnivore,Carnivore,,,,
Dasyuroides_byrnei,Dasyuroides_byrnei,dasyuroides_byrnei,Dasyuromorphia,Dasyuridae,Dasyuroides,byrnei,Round,Nocturnal,1,103.8,,Carnivore,Carnivore,,,,
Murexia_melanurus,Murexia_melanurus,murexia_naso,Dasyuromorphia,Dasyuridae,Murexia,melanurus,Round,Nocturnal,1,102.12,,Insectivore,Carnivore,,,,
Parantechinus_apicalis,Parantechinus_apicalis,parantechinus_apicalis,Dasyuromorphia,Dasyuridae,Parantechinus,apicalis,Round,Nocturnal,1,68.8,,Insectivore,Carnivore,,,,
Phascogale_tapoatafa,Phascogale_tapoatafa,phascogale_tapoatafa,Dasyuromorphia,Dasyuridae,Phascogale,tapoatafa,Round,Nocturnal,1,142.1666667,,Carnivore,Carnivore,,,,
Planigale_ingrami,Planigale_ingrami,planigale_ingrami,Dasyuromorphia,Dasyuridae,Planigale,ingrami,Round,Nocturnal,1,9.1,,Carnivore,Carnivore,,,,
Pseudantechinus_mimulus,Pseudantechinus_mimulus,pseudantechinus_mimulus,Dasyuromorphia,Dasyuridae,Pseudantechinus,mimulus,Round,Nocturnal,1,26.75,,Insectivore,Carnivore,,,,
Glironia_venusta,Glironia_venusta,glironia_venusta,Didelphimorphia,Didelphidae,Glironia,venusta,Round,Nocturnal,0,114,,Mixed,Carnivore,,,,
Hyladelphys_kalinowskii,Hyladelphys_kalinowskii,hyladelphys_kalinowskii,Didelphimorphia,Didelphidae,Hyladelphys,kalinowskii,Round,Nocturnal,0,16.3,,Herbivore,Herbivore,,,,
Acrobates_pygmaeus,Acrobates_pygmaeus,acrobates_pygmaeus,Diprotodontia,Acrobatidae,Acrobates,pygmaeus,Round,Nocturnal,0,12,,Insectivore,Carnivore,,,,
Distoechurus_pennatus,Distoechurus_pennatus,distoechurus_pennatus,Diprotodontia,Acrobatidae,Distoechurus,pennatus,Round,Nocturnal,0,44.1,,Herbivore,Herbivore,,,,
Cercartetus_caudatus,Cercartetus_caudatus,cercartetus_caudatus,Diprotodontia,Burramyidae,Cercartetus,caudatus,Round,Nocturnal,0,17.25,,Herbivore,Herbivore,,,,
Hypsiprymnodon_moschatus,Hypsiprymnodon_moschatus,hypsiprymnodon_moschatus,Diprotodontia,Hypsiprymnodontidae,Hypsiprymnodon,moschatus,Round,Diurnal,,520,,Insectivore,Carnivore,,,,
Dendrolagus_goodfellowi,Dendrolagus_goodfellowi,dendrolagus_dorianus,Diprotodontia,Macropodidae,Dendrolagus,goodfellowi,Round,Diurnal,,9140.221429,,Herbivore,Herbivore,,,,
Dorcopsis_muelleri,Dorcopsis_muelleri,dorcopsis_hageni,Diprotodontia,Macropodidae,Dorcopsis,muelleri,Round,Crepuscular,,5817.125,,Herbivore,Herbivore,,,,
Dorcopsulus_macleayi,Dorcopsulus_macleayi,dorcopsulus_vanheurni,Diprotodontia,Macropodidae,Dorcopsulus,macleayi,Round,Cathemeral,,2386.9,,Herbivore,Herbivore,,,,
Lagorchestes_conspicillatus,Lagorchestes_conspicillatus,lagorchestes_conspicillatus,Diprotodontia,Macropodidae,Lagorchestes,conspicillatus,Round,Nocturnal,1,2157.5,,Herbivore,Herbivore,,,,
Lagostrophus_fasciatus,Lagostrophus_fasciatus,lagostrophus_fasciatus,Diprotodontia,Macropodidae,Lagostrophus,fasciatus,Round,Nocturnal,0,1700,,Herbivore,Herbivore,,,,
Macropus_fuliginosus,Macropus_fuliginosus,macropus_agilis,Diprotodontia,Macropodidae,Macropus,fuliginosus,Round,Nocturnal,1,27516.96429,,Herbivore,Herbivore,,,,
Onychogalea_unguifera,Onychogalea_unguifera,onychogalea_unguifera,Diprotodontia,Macropodidae,Onychogalea,unguifera,Round,Nocturnal,1,6075,,Herbivore,Herbivore,,,,
Petrogale_concinna,Petrogale_concinna,petrogale_concinna,Diprotodontia,Macropodidae,Petrogale,concinna,Round,Nocturnal,1,4550.5,,Herbivore,Herbivore,,,,
Thylogale_browni,Thylogale_browni,thylogale_billardierii,Diprotodontia,Macropodidae,Thylogale,browni,Round,Nocturnal,1,4884.314286,,Herbivore,Herbivore,,,,
Wallabia_bicolor,Wallabia_bicolor,wallabia_bicolor,Diprotodontia,Macropodidae,Wallabia,bicolor,Round,Nocturnal,1,15000,,Herbivore,Herbivore,,,,
Dactylopsila_tatei,Dactylopsila_tatei,dactylopsila_trivirgata,Diprotodontia,Petauridae,Dactylopsila,tatei,Round,Nocturnal,0,351,,Insectivore,Carnivore,,,,
Gymnobelideus_leadbeateri,Gymnobelideus_leadbeateri,gymnobelideus_leadbeateri,Diprotodontia,Petauridae,Gymnobelideus,leadbeateri,Round,Nocturnal,0,127,,Herbivore,Herbivore,,,,
Ailurops_melanotis,Ailurops_melanotis,ailurops_ursinus,Diprotodontia,Phalangeridae,Ailurops,melanotis,Round,Cathemeral,,8334.5,,Herbivore,Herbivore,,,,
Spilocuscus_kraemeri,Spilocuscus_kraemeri,spilocuscus_maculatus,Diprotodontia,Phalangeridae,Spilocuscus,kraemeri,Vertical,Cathemeral,,4480.92,1,Herbivore,Herbivore,,,,
Strigocuscus_celebensis,Strigocuscus_celebensis,strigocuscus_celebensis,Diprotodontia,Phalangeridae,Strigocuscus,celebensis,Vertical,Nocturnal,0,801.5,1,Herbivore,Herbivore,,,,
Wyulda_squamicaudata,Wyulda_squamicaudata,wyulda_squamicaudata,Diprotodontia,Phalangeridae,Wyulda,squamicaudata,Round,Nocturnal,0,1675,,Herbivore,Herbivore,,,,
Aepyprymnus_rufescens,Aepyprymnus_rufescens,aepyprymnus_rufescens,Diprotodontia,Potoroidae,Aepyprymnus,rufescens,Round,Nocturnal,0,3250,,Herbivore,Herbivore,,,,
Bettongia_anhydra,Bettongia_penicillata,bettongia_gaimardi,Diprotodontia,Potoroidae,Bettongia,anhydra,Round,Nocturnal,0,1448.54,,Herbivore,Herbivore,,,,
Potorous_gilbertii,Potorous_gilbertii,potorous_gilbertii,Diprotodontia,Potoroidae,Potorous,gilbertii,Round,Nocturnal,0,1320.833333,,Herbivore,Herbivore,,,,
Hemibelideus_lemuroides,Hemibelideus_lemuroides,hemibelideus_lemuroides,Diprotodontia,Pseudocheiridae,Hemibelideus,lemuroides,Round,Nocturnal,0,952.5,,Herbivore,Herbivore,,,,
Petauroides_volans,Petauroides_volans,petauroides_volans,Diprotodontia,Pseudocheiridae,Petauroides,volans,Round,Nocturnal,0,1300,,Herbivore,Herbivore,,,,
Petropseudes_dahli,Petropseudes_dahli,petropseudes_dahli,Diprotodontia,Pseudocheiridae,Petropseudes,dahli,Vertical,Nocturnal,0,1640,1,Herbivore,Herbivore,,,,
Pseudochirulus_canescens,Pseudochirulus_canescens,pseudochirulus_canescens,Diprotodontia,Pseudocheiridae,Pseudochirulus,canescens,Round,Nocturnal,0,609.325,,Herbivore,Herbivore,,,,
Tarsipes_rostratus,Tarsipes_rostratus,tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes,rostratus,Vertical,Nocturnal,1,9,1,Herbivore,Herbivore,,,,
Dendrohyrax_arboreus,Dendrohyrax_arboreus,dendrohyrax_dorsalis,Hyracoidea,Procaviidae,Dendrohyrax,arboreus,Horizontal,Nocturnal,0,2851.666667,,Herbivore,Herbivore,,,,
Heterohyrax_brucei,Heterohyrax_brucei,heterohyrax_brucei,Hyracoidea,Procaviidae,Heterohyrax,brucei,Horizontal,Diurnal,,2625,,Herbivore,Herbivore,,,,
Procavia_capensis,Procavia_capensis,procavia_capensis,Hyracoidea,Procaviidae,Procavia,capensis,Horizontal,Diurnal,,3030,,Herbivore,Herbivore,,,,
Brachylagus_idahoensis,Brachylagus_idahoensis,brachylagus_idahoensis,Lagomorpha,Leporidae,Brachylagus,idahoensis,Vertical,Crepuscular,,421.3,0,Herbivore,Herbivore,,,,
Bunolagus_monticularis,Bunolagus_monticularis,bunolagus_monticularis,Lagomorpha,Leporidae,Bunolagus,monticularis,Vertical,Nocturnal,0,1750,0,Herbivore,Herbivore,,,,
Caprolagus_hispidus,Caprolagus_hispidus,caprolagus_hispidus,Lagomorpha,Leporidae,Caprolagus,hispidus,Vertical,Crepuscular,,2497,0,Herbivore,Herbivore,,,,
Nesolagus_netscheri,Nesolagus_netscheri,nesolagus_netscheri,Lagomorpha,Leporidae,Nesolagus,netscheri,Vertical,Nocturnal,0,1803.7,0,Herbivore,Herbivore,,,,
Pentalagus_furnessi,Pentalagus_furnessi,pentalagus_furnessi,Lagomorpha,Leporidae,Pentalagus,furnessi,Vertical,Nocturnal,1,2396.3,0,Herbivore,Herbivore,,,,
Poelagus_marjorita,Poelagus_marjorita,pronolagus_crassicaudatus,Lagomorpha,Leporidae,Poelagus,marjorita,Vertical,Nocturnal,0,2500,0,Herbivore,Herbivore,,,,
