"","Horizontal","Round","Vertical"
"Oreotragus_oreotragus",1,0,0
"Philantomba_walteri",1,0,0
"Sylvicapra_grimmia",1,0,0
"Cephalophus_jentinki",1,0,0
"Ovibos_moschatus",1,0,0
"Naemorhedus_baileyi",1,0,0
"Capricornis_crispus",1,0,0
"Ovis_canadensis",1,0,0
"Nilgiritragus_hylocrius",1,0,0
"Hemitragus_jemlahicus",1,0,0
"Capra_caucasica",1,0,0
"Pseudois_nayaur",1,0,0
"Budorcas_taxicolor",1,0,0
"Oreamnos_americanus",1,0,0
"Rupicapra_pyrenaica",1,0,0
"Arabitragus_jayakari",1,0,0
"Ammotragus_lervia",1,0,0
"Connochaetes_gnou",1,0,0
"Damaliscus_lunatus",1,0,0
"Alcelaphus_buselaphus",1,0,0
"Hippotragus_equinus",1,0,0
"Oryx_dammah",1,0,0
"Addax_nasomaculatus",1,0,0
"Equus_africanus",1,0,0
"Tapirus_bairdii",0,1,0
"Rhinoceros_sondaicus",0,1,0
"Dicerorhinus_sumatrensis",0,1,0
"Ceratotherium_simum",0,1,0
"Vulpes_bengalensis",0,0,1
"Urocyon_cinereoargenteus",0,0,1
"Otocyon_megalotis",0,0,1
"Nyctereutes_procyonoides",0,0,1
"Lycaon_pictus",0,1,0
"Chrysocyon_brachyurus",0,1,0
"Cuon_alpinus",0,1,0
"Canis_adustus",0,1,0
"Pseudalopex_culpaeus",0,0,1
"Speothos_venaticus",0,1,0
"Cerdocyon_thous",0,0,1
"Atelocynus_microtis",0,1,0
"Mydaus_javanensis",0,1,0
"Spilogale_angustifrons",0,1,0
"Conepatus_chinga",0,1,0
"Potos_flavus",0,1,0
"Procyon_cancrivorus",0,1,0
"Bassariscus_astutus",0,1,0
"Nasua_nasua",1,0,0
"Nasuella_meridensis",1,0,0
"Bassaricyon_alleni",1,0,0
"Taxidea_taxus",0,1,0
"Meles_meles",0,1,0
"Arctonyx_collaris",0,1,0
"Mellivora_capensis",0,1,0
"Gulo_gulo",1,0,0
"Martes_americana",0,1,0
"Eira_barbara",1,0,0
"Melogale_cucphuongensis",0,1,0
"Mustela_erminea",1,0,0
"Vormela_peregusna",0,1,0
"Galictis_cuja",0,1,0
"Ailurus_fulgens",0,0,1
"Melursus_ursinus",0,1,0
"Ursus_americanus",0,1,0
"Helarctos_malayanus",0,1,0
"Ailuropoda_melanoleuca",0,0,1
"Nandinia_binotata",0,0,1
"Hyaena_hyaena",0,0,1
"Hyaena_brunnea",0,0,1
"Proteles_cristata",0,0,1
"Crocuta_crocuta",0,0,1
"Fossa_fossana",0,0,1
"Eupleres_goudotii",0,0,1
"Salanoia_concolor",1,0,0
"Mungotictis_decemlineata",1,0,0
