"","Horizontal","Round","Vertical"
"mungos_mungo",1,0,0
"suricata_suricatta",1,0,0
"salanoia_concolor",1,0,0
"mungotictis_decemlineata",1,0,0
"galidictis_fasciata",1,0,0
"galidia_elegans",1,0,0
"cryptoprocta_ferox",0,0,1
"eupleres_goudotii",0,0,1
"fossa_fossana",0,0,1
"parahyaena_brunnea",0,0,1
"hyaena_hyaena",0,0,1
"proteles_cristatus",0,0,1
"crocuta_crocuta",0,0,1
"genetta_pardina",0,0,1
"poiana_richardsonii",0,0,1
"viverra_tangalunga",0,0,1
"civettictis_civetta",0,0,1
"viverricula_indica",0,0,1
"paradoxurus_zeylonensis",0,0,1
"paradoxurus_hermaphroditus",0,0,1
"arctictis_binturong",0,0,1
"paguma_larvata",0,0,1
"arctogalidia_trivirgata",0,0,1
"chrotogale_owstoni",0,0,1
"hemigalus_derbyanus",0,0,1
"cynogale_bennettii",0,0,1
"macrogalidia_musschenbroekii",0,0,1
"felis_catus",0,0,1
"prionailurus_bengalensis",0,0,1
"otocolobus_manul",0,1,0
"lynx_canadensis",0,0,1
"puma_concolor",0,1,0
"puma_yagouaroundi",0,1,0
"acinonyx_jubatus",0,1,0
"catopuma_badia",0,1,0
"pardofelis_marmorata",0,0,1
"caracal_caracal",0,0,1
"leptailurus_serval",0,0,1
"leopardus_colocolo",0,0,1
"panthera_leo",0,1,0
"neofelis_nebulosa",0,0,1
"prionodon_linsang",0,0,1
"nandinia_binotata",0,0,1
"equus_zebra",1,0,0
"ceratotherium_simum",0,1,0
"rhinoceros_sondaicus",0,1,0
"dicerorhinus_sumatrensis",0,1,0
"tapirus_bairdii",0,1,0
"capra_caucasica",1,0,0
"hemitragus_jemlahicus",1,0,0
"pseudois_nayaur",1,0,0
"rupicapra_pyrenaica",1,0,0
"budorcas_taxicolor",1,0,0
"oreamnos_americanus",1,0,0
"arabitragus_jayakari",1,0,0
"ammotragus_lervia",1,0,0
"ovis_canadensis",1,0,0
"nilgiritragus_hylocrius",1,0,0
"capricornis_crispus",1,0,0
"naemorhedus_baileyi",1,0,0
"ovibos_moschatus",1,0,0
"oryx_dammah",1,0,0
"addax_nasomaculatus",1,0,0
"hippotragus_equinus",1,0,0
"damaliscus_lunatus",1,0,0
"alcelaphus_buselaphus",1,0,0
"connochaetes_gnou",1,0,0
"gazella_arabica",1,0,0
"gazella_bennettii",1,0,0
"nanger_dama",1,0,0
"eudorcas_rufifrons",1,0,0
"antilope_cervicapra",1,0,0
"antidorcas_marsupialis",1,0,0
"litocranius_walleri",1,0,0
"saiga_tatarica",1,0,0
"ourebia_ourebi",1,0,0
"madoqua_guentheri",1,0,0
"dorcatragus_megalotis",1,0,0
"raphicerus_campestris",1,0,0
"procapra_gutturosa",1,0,0
"kobus_ellipsiprymnus",1,0,0
"redunca_redunca",1,0,0
"pelea_capreolus",1,0,0
"sylvicapra_grimmia",1,0,0
"cephalophus_adersi",1,0,0
"philantomba_maxwellii",1,0,0
"oreotragus_oreotragus",1,0,0
"neotragus_batesi",1,0,0
"aepyceros_melampus",1,0,0
"bos_bison",1,0,0
"bos_javanicus",1,0,0
"bos_taurus",1,0,0
"pseudoryx_nghetinhensis",1,0,0
"bubalus_depressicornis",1,0,0
"syncerus_caffer",1,0,0
"tragelaphus_angasii",1,0,0
"boselaphus_tragocamelus",1,0,0
"tetracerus_quadricornis",1,0,0
"cervus_albirostris",1,0,0
"cervus_timorensis",1,0,0
"elaphurus_davidianus",1,0,0
"dama_dama",1,0,0
"rucervus_duvaucelii",1,0,0
"axis_axis",1,0,0
"muntiacus_reevesi",1,0,0
"elaphodus_cephalophus",1,0,0
"odocoileus_virginianus",1,0,0
"mazama_americana",1,0,0
"pudu_mephistophiles",1,0,0
"ozotoceros_bezoarticus",1,0,0
"rangifer_tarandus",1,0,0
"capreolus_capreolus",1,0,0
"hydropotes_inermis",1,0,0
"alces_alces",1,0,0
"moschus_anhuiensis",1,0,0
"giraffa_camelopardalis",1,0,0
"okapia_johnstoni",1,0,0
"antilocapra_americana",1,0,0
"tragulus_javanicus",1,0,0
"moschiola_meminna",1,0,0
"hyemoschus_aquaticus",1,0,0
"hexaprotodon_liberiensis",1,0,0
"hippopotamus_amphibius",1,0,0
"sus_barbatus",1,0,0
"phacochoerus_aethiopicus",1,0,0
"hylochoerus_meinertzhageni",1,0,0
"potamochoerus_larvatus",1,0,0
"babyrousa_babyrussa",1,0,0
"porcula_salvania",1,0,0
"tayassu_pecari",1,0,0
"pecari_tajacu",1,0,0
"catagonus_wagneri",1,0,0
"lama_guanicoe",1,0,0
"vicugna_vicugna",1,0,0
"camelus_dromedarius",1,0,0
"anathana_ellioti",1,0,0
"tupaia_belangeri",1,0,0
"lepus_alleni",0,0,1
"sylvilagus_aquaticus",0,0,1
"nesolagus_netscheri",0,0,1
"pentalagus_furnessi",0,0,1
"bunolagus_monticularis",0,0,1
"romerolagus_diazi",0,0,1
"brachylagus_idahoensis",0,0,1
"pronolagus_rupestris",0,0,1
"pronolagus_crassicaudatus",0,0,1
"caprolagus_hispidus",0,0,1
"ochotona_princeps",0,1,0
"cynomys_gunnisoni",1,0,0
"spermophilus_alashanicus",1,0,0
"marmota_baibacina",1,0,0
"otospermophilus_beecheyi",1,0,0
"ammospermophilus_harrisii",1,0,0
"tamias_striatus",0,1,0
"paraxerus_alexandri",1,0,0
"protoxerus_stangeri",1,0,0
"sciurus_niger",1,0,0
"rheithrosciurus_macrotis",1,0,0
"sundasciurus_brookei",1,0,0
"callosciurus_erythraeus",1,0,0
"dremomys_lokriah",1,0,0
"prosciurillus_murinus",1,0,0
"exilisciurus_concinnus",1,0,0
"funambulus_layardi",1,0,0
"ratufa_affinis",1,0,0
"graphiurus_murinus",0,1,0
"muscardinus_avellanarius",0,1,0
"eliomys_melanurus",0,1,0
"echimys_chrysurus",0,0,1
"makalata_didelphoides",0,0,1
"toromys_grandis",0,0,1
"pattonomys_semivillosus",0,0,1
"dactylomys_boliviensis",0,0,1
"kannabateomys_amblyonyx",0,0,1
"diplomys_labilis",0,0,1
"mesomys_hispidus",0,0,1
"isothrix_bistriata",0,0,1
"proechimys_simonsi",0,0,1
"myocastor_coypus",0,0,1
"thrichomys_inermis",0,0,1
"mysateles_prehensilis",0,0,1
"capromys_pilorides",0,0,1
"geocapromys_brownii",0,0,1
"plagiodontia_aedium",0,0,1
"octodon_degus",0,0,1
"abrocoma_bennettii",0,0,1
"lagidium_viscacia",0,0,1
"chinchilla_lanigera",0,0,1
"lagostomus_maximus",0,0,1
"dinomys_branickii",0,0,1
"coendou_bicolor",0,0,1
"erethizon_dorsatum",0,0,1
"chaetomys_subspinosus",0,0,1
"cavia_aperea",0,1,0
"microcavia",0,0,1
"kerodon_rupestris",0,0,1
"hydrochoerus_hydrochaeris",0,0,1
"dolichotis_patagonum",0,0,1
"galea_musteloides",0,0,1
"dasyprocta_leporina",0,1,0
"myoprocta_acouchy",0,1,0
"cuniculus_paca",0,0,1
"thryonomys_swinderianus",0,0,1
"hystrix_brachyura",0,1,0
"megadontomys_cryophilus",0,1,0
"scotinomys_xerampelinus",0,1,0
"nyctomys_sumichrasti",0,1,0
"tylomys_nudicaudus",0,1,0
"microtus_pennsylvanicus",0,1,0
"chionomys_roberti",0,1,0
"lagurus_lagurus",0,1,0
"arvicola_sapidus",0,1,0
"myodes_glareolus",0,1,0
"ondatra_zibethicus",0,1,0
"phenacomys_intermedius",0,1,0
"mesocricetus_auratus",0,1,0
"nesomys_audeberti",0,1,0
"hypogeomys_antimena",0,1,0
"cricetomys_emini",0,1,0
"praomys_daltoni",0,1,0
"mus_musculus",0,1,0
"apodemus_agrarius",0,1,0
"tokudaia_osimensis",0,1,0
"grammomys_dolichurus",0,1,0
"dephomys_defua",0,1,0
"aethomys_chrysophilus",0,1,0
